Gestures,Hand,HandPalmPosition,HandPalmOrientation
3,Left,"(90.3551, 349.682, 22.8329)","(0.12529, -0.0128734, -0.992037)"
3,Left,"(91.9017, 349.743, 22.3986)","(0.129709, -0.0163403, -0.991417)"
3,Left,"(93.391, 350.11, 22.1471)","(0.130403, -0.0181996, -0.991294)"
3,Left,"(94.6946, 350.862, 22.7692)","(0.129123, -0.0373416, -0.990925)"
3,Left,"(96.1599, 351.145, 22.6241)","(0.12904, -0.0396921, -0.990845)"
3,Left,"(97.6422, 351.808, 22.9186)","(0.132239, -0.0536653, -0.989764)"
3,Left,"(99.1034, 352.061, 22.5795)","(0.135079, -0.0387901, -0.990075)"
3,Left,"(100.481, 352.394, 22.5512)","(0.138443, -0.0397284, -0.989573)"
3,Left,"(101.756, 352.357, 22.1491)","(0.138278, -0.0353169, -0.989764)"
3,Left,"(103.071, 352.611, 21.9427)","(0.140803, -0.034697, -0.989429)"
3,Left,"(104.244, 352.534, 21.8079)","(0.14138, -0.0311639, -0.989465)"
3,Left,"(105.492, 352.828, 21.6201)","(0.143699, -0.0217876, -0.989382)"
3,Left,"(106.664, 352.753, 21.6236)","(0.147122, -0.00999796, -0.989068)"
3,Left,"(107.913, 353.008, 21.6766)","(0.146032, -0.0127233, -0.989198)"
3,Left,"(109.122, 353.261, 21.5981)","(0.145515, -0.00883689, -0.989317)"
3,Left,"(110.389, 353.696, 21.711)","(0.144681, -0.0109745, -0.989418)"
3,Left,"(111.635, 354.247, 21.9889)","(0.142424, -0.0268515, -0.989441)"
3,Left,"(112.944, 354.575, 21.9326)","(0.145412, -0.0149393, -0.989258)"
3,Left,"(115.265, 354.995, 21.957)","(0.143399, -0.0146034, -0.989557)"
3,Left,"(116.358, 355.109, 21.9644)","(0.14255, -0.0172691, -0.989637)"
3,Left,"(117.487, 355.07, 21.9418)","(0.144364, -0.0209755, -0.989302)"
3,Left,"(118.575, 354.997, 21.8242)","(0.145579, -0.024775, -0.989036)"
3,Left,"(119.597, 354.952, 21.6194)","(0.144496, -0.0310964, -0.989017)"
3,Left,"(120.687, 354.901, 21.4767)","(0.147903, -0.0277186, -0.988613)"
3,Left,"(121.806, 355.006, 21.2763)","(0.153817, -0.02216, -0.987851)"
3,Left,"(122.849, 355.07, 20.8729)","(0.152741, -0.0178246, -0.988106)"
3,Left,"(123.856, 354.88, 20.4759)","(0.153562, -0.0201287, -0.987934)"
3,Left,"(124.796, 354.893, 20.1214)","(0.15501, -0.0162413, -0.987779)"
3,Left,"(125.78, 354.758, 19.8856)","(0.157503, -0.0179111, -0.987356)"
3,Left,"(126.733, 354.771, 19.6222)","(0.165975, -0.00131633, -0.986129)"
3,Left,"(127.576, 354.512, 19.3986)","(0.167199, -0.002894, -0.985919)"
3,Left,"(128.494, 354.343, 18.921)","(0.170749, 0.00527784, -0.9853)"
3,Left,"(129.367, 354.109, 18.7387)","(0.174794, 0.00471352, -0.984594)"
3,Left,"(130.178, 353.938, 18.4683)","(0.173075, -0.00334316, -0.984903)"
3,Left,"(130.98, 353.48, 17.882)","(0.18339, 0.0123383, -0.982963)"
3,Left,"(131.94, 353.239, 17.4021)","(0.186649, 0.00587094, -0.982409)"
3,Left,"(132.71, 352.869, 16.8436)","(0.194193, 0.0185538, -0.980788)"
3,Left,"(133.612, 352.811, 16.5524)","(0.195593, 0.00764487, -0.980655)"
3,Left,"(134.443, 352.868, 16.072)","(0.196705, 0.0134585, -0.98037)"
3,Left,"(135.229, 352.621, 15.6541)","(0.196794, 0.00355789, -0.980438)"
