Gestures,Hand,HandPalmPosition,HandPalmOrientation
0,Left,"(109.195, 358.319, -105.401)","(0.537957, 0.308497, -0.784494)"
0,Left,"(110.626, 358.446, -105.361)","(0.538497, 0.309085, -0.783892)"
0,Left,"(112.044, 358.778, -105.162)","(0.537594, 0.315043, -0.782139)"
0,Left,"(115.85, 360.016, -104.93)","(0.538246, 0.304695, -0.785781)"
0,Left,"(117.095, 360.968, -105.008)","(0.539673, 0.320723, -0.778389)"
0,Left,"(118.402, 361.578, -105.038)","(0.542161, 0.317761, -0.777875)"
0,Left,"(119.588, 362.116, -104.933)","(0.542389, 0.316003, -0.778432)"
0,Left,"(120.774, 363.095, -104.884)","(0.5425, 0.321793, -0.775979)"
0,Left,"(121.776, 363.503, -104.804)","(0.541421, 0.319448, -0.777699)"
0,Left,"(122.925, 364.185, -104.659)","(0.543914, 0.322936, -0.774513)"
0,Left,"(123.833, 364.669, -104.477)","(0.543466, 0.326503, -0.773331)"
0,Left,"(124.677, 365.174, -104.371)","(0.540748, 0.331205, -0.773237)"
0,Left,"(125.3, 365.469, -104.125)","(0.538939, 0.332513, -0.773938)"
0,Left,"(126.032, 365.809, -103.855)","(0.539142, 0.336321, -0.772149)"
0,Left,"(126.563, 366.033, -103.685)","(0.537852, 0.33014, -0.775708)"
0,Left,"(127.319, 366.906, -103.696)","(0.537298, 0.332049, -0.775277)"
0,Left,"(127.895, 367.376, -103.57)","(0.537207, 0.33229, -0.775237)"
0,Left,"(128.449, 367.907, -103.491)","(0.536883, 0.329426, -0.776682)"
0,Left,"(128.88, 368.108, -103.423)","(0.539455, 0.328828, -0.775152)"
0,Left,"(129.33, 368.703, -103.388)","(0.53954, 0.328033, -0.775429)"
0,Left,"(129.716, 369.369, -103.46)","(0.540054, 0.332774, -0.773048)"
0,Left,"(129.896, 369.639, -103.457)","(0.540218, 0.335437, -0.771782)"
0,Left,"(130.029, 369.834, -103.478)","(0.540293, 0.339467, -0.769965)"
0,Left,"(130.113, 369.917, -103.548)","(0.540536, 0.337164, -0.770806)"
0,Left,"(130.123, 370.043, -103.567)","(0.539406, 0.337979, -0.77124)"
0,Left,"(129.974, 370.091, -103.744)","(0.538578, 0.338522, -0.771581)"
0,Left,"(129.835, 370.199, -103.943)","(0.538351, 0.336539, -0.772606)"
0,Left,"(129.517, 370.337, -104.16)","(0.535747, 0.336511, -0.774426)"
0,Left,"(129.063, 370.68, -104.541)","(0.53142, 0.341442, -0.775249)"
0,Left,"(128.469, 370.958, -104.993)","(0.526428, 0.340121, -0.779225)"
0,Left,"(127.617, 370.852, -105.357)","(0.523173, 0.339743, -0.781578)"
0,Left,"(126.729, 370.482, -105.753)","(0.52122, 0.338188, -0.783555)"
0,Left,"(125.818, 370.458, -106.416)","(0.51811, 0.332609, -0.787993)"
0,Left,"(124.9, 370.405, -107.15)","(0.517439, 0.32759, -0.790533)"
0,Left,"(123.934, 370.132, -108.032)","(0.518639, 0.318388, -0.7935)"
0,Left,"(122.846, 369.752, -108.883)","(0.518604, 0.315082, -0.794842)"
0,Left,"(121.686, 369.193, -109.792)","(0.520342, 0.308532, -0.796274)"
0,Left,"(120.386, 368.704, -110.832)","(0.517952, 0.306072, -0.798778)"
0,Left,"(118.986, 368.197, -111.753)","(0.514815, 0.306257, -0.800732)"
0,Left,"(117.591, 367.834, -112.84)","(0.510778, 0.300228, -0.805586)"
0,Left,"(116.075, 367.117, -113.786)","(0.509058, 0.303447, -0.805469)"
0,Left,"(114.55, 366.605, -114.755)","(0.508087, 0.306883, -0.80478)"
0,Left,"(113.048, 366.238, -115.834)","(0.502858, 0.311994, -0.806098)"
0,Left,"(111.442, 365.557, -116.997)","(0.497372, 0.302426, -0.813117)"
0,Left,"(109.899, 364.63, -117.991)","(0.498016, 0.303808, -0.812207)"
0,Left,"(108.477, 364.384, -119.319)","(0.494347, 0.313804, -0.810647)"
0,Left,"(106.847, 363.576, -120.389)","(0.491858, 0.31395, -0.812103)"
0,Left,"(105.475, 363.007, -121.704)","(0.490106, 0.311396, -0.814143)"
0,Left,"(104.104, 362.451, -123.04)","(0.489474, 0.312672, -0.814034)"
0,Left,"(102.962, 362.233, -124.531)","(0.490341, 0.314021, -0.812992)"
0,Left,"(101.575, 361.527, -125.943)","(0.48916, 0.29859, -0.819492)"
0,Left,"(100.323, 361.545, -127.51)","(0.486457, 0.305466, -0.818565)"
0,Left,"(99.0297, 360.949, -128.951)","(0.489296, 0.298435, -0.819467)"
0,Left,"(97.4503, 360.364, -130.313)","(0.482491, 0.296436, -0.824214)"
0,Left,"(96.1771, 360.081, -131.734)","(0.483161, 0.311719, -0.81816)"
0,Left,"(94.5637, 359.548, -133.319)","(0.473573, 0.304027, -0.826617)"
0,Left,"(93.2026, 359.275, -134.639)","(0.474855, 0.301863, -0.826675)"
0,Left,"(92.0381, 359.117, -136.448)","(0.471167, 0.304329, -0.82788)"
0,Left,"(90.9373, 359.052, -138.109)","(0.474404, 0.304458, -0.825982)"
0,Left,"(89.6479, 358.545, -139.766)","(0.469757, 0.306566, -0.827856)"
0,Left,"(88.3463, 358.187, -141.342)","(0.470634, 0.301716, -0.829139)"
0,Left,"(87.0111, 357.534, -142.872)","(0.466742, 0.301972, -0.831243)"
0,Left,"(85.7673, 357.304, -144.396)","(0.470164, 0.310635, -0.826107)"
0,Left,"(84.5827, 356.941, -146.524)","(0.463321, 0.300016, -0.833861)"
0,Left,"(83.4328, 356.715, -148.292)","(0.462583, 0.299901, -0.834312)"
0,Left,"(81.9138, 356.389, -149.681)","(0.463428, 0.311037, -0.829753)"
0,Left,"(80.7426, 355.819, -152.025)","(0.450605, 0.288648, -0.844771)"
0,Left,"(79.2627, 355.614, -153.289)","(0.449796, 0.312743, -0.836586)"
0,Left,"(78.3166, 355.122, -155.649)","(0.44261, 0.289686, -0.848633)"
0,Left,"(77.0756, 354.527, -156.671)","(0.449844, 0.291138, -0.844322)"
0,Left,"(76.2154, 353.847, -159.244)","(0.441575, 0.25352, -0.860662)"
